text,sentiment
"Similar to Baader and Krcmar [3] that use an existing serious game [15] to generate fraudulent ERP transactions through user interaction, we take a game-based **data** generation approach to meet our formal **data** generation requirements and employ a serious game, ERPsim [9], to record ERP system data. Within the ERPsim serious game, participants take control of a make-to-stock production company through the ability to plan overall sales, create purchase orders for raw materials, plan production of products, produce and deliver sales orders to fictitious customers, manage the accounting, and optionally take loans and manage debts. In our scenario, the ERP system is used for make-to-stock production of four products based on a market analysis and forecast. After production, products are stored in a warehouse and sold to customers. To simulate an in-game year for a single company, the game may be played with up to five players per company in the roles of material planner, production controller, sales manager, financial planner, and market analyst.",maybe
"GrimoireELK is the main actor of this area, interacting with the database. Its design is shown in Fig. 8. A feeder collects JSON documents produced by the **data** retrieval, storing them as the raw database (in an Elasticsearch index). Dumps of this raw **data** can be easily created to make any analysis reproducible, or to analyze directly with third party tools.",maybe
Identification is a process of identification OF internal and external weaknesses or risks. It contains knowledge about: personnel and their abilities to recognize risks; systems; **data** and other elements that can cause a risk due to disruption of normal IT process within the company.,maybe
"The most prominent issues raised concerned **data** and metadata: availability, accessibility, usability, interoperability, resolution, format and quality. Additionally, the importance of sharing **data** and knowledge (i.e. methodological guidance and research results) was repeatedly raised by respondents, emphasising the need to develop not only technologies and RIs, but also strong, collaborative and proactive networking at different levels. Adaptation more than mitigation was confirmed to be a priority for Africa. Beside the scientific and technical aspects, the solution to most of the constraints could be a comprehensive approach able to consider not only scientific and ecological issues but also socio-economic dynamics (land tenure, urbanisation, jobs opportunities, market, prices, investments, etc), which may influence the success and the long-term sustainability of a RI network. Science alone is not always enough, thus mediation among scientists, traditional leaders and agriculture  extension officers could help in facing some of the crucial practical aspects towards implementation. A coherent and thorough analysis and prioritisation of all these issues can therefore help in developing a range of options suitable for specific 'on field' conditions (at national or regional levels). Among the possible options, the developed countries' approach for an RI network on GHG observations was recognised as not being directly applicable to Africa, for different reasons, of which the most important are: high costs for implementation and maintenance, lack of qualified personnel and specialised companies, problems with energy supply, accessibility and protection of field sites, and challenging eco-climatic conditions.",maybe
"-We propose a strategy for **data** generation that simulates normal behavior and fraud jointly through user interaction within a real ERP system and is capable of modeling frauds and normal behavior in the P2P and O2C business processes. -We conduct multiple simulation runs and construct ready to use datasets with detailed fraud annotations that allow for direct application and comparison of ERP fraud detection approaches. -Finally, we provide both raw **data** and ready to use datasets to the general public to allow for open comparability of ERP fraud detection systems. 3 The remaining paper is structured as follows: Section 2 outlines the requirements for **data** generation, introduces our **data** generator, showcases the modelled business scenario and chosen fraud cases, and details the **data** generation process. Section 3 presents an analysis on the collected data, while Section 4 aggregates parts of the **data** into ready to use datasets for direct use in fraud detection applications. Section 5 concludes the paper. Empirical realism: We generate our **data** directly within a real ERP system modeling a production company in a realistic profit maximization setting.",maybe
"For a low-complexity MLA, the **data** may be sufficient to obtain an acceptable prediction. However, for any DeepLearning solution, the **data** are frankly insufficient to take advantage of this type of algorithm. In addition, the number of anomalies is very limited due to the lack of a classification of anomalies and healthy streets' **data** and the volume of **data** that are necessary to define clear differences between each of them from the spectral footprints.",maybe
"Sebagai bentuk kecintaan dan kebanggaan terhadap bangsa dan negara anak usia dini perlu ditanamkan sehingga anak-anak mengenal negara dan bangsanya sendiri dan memiliki semangat untuk menjaganya. Dengan sikap dan tingkah laku yang bermanfaat bagi kepentingan masyarakat dan menghindari penyimpanganpenyimpangan sosial yang **data** merusak nilai-nilai kebudayaan (Asmani, 2013).",maybe
"Each of the items in enriched indexes stores **data** about a single commit, issue report, code review, message, etc. For example, for a commit, 54 different fields are stored (see Fig. 9 for a more complete description of some of them 2 ), including, among others: author_uuid (unique author identified, provided by SortingHat), author_date (author date in the commit record), files (number of files touched by this commit), lines_added (number of lines added), lines_removed (number of lines removed), message (commit message), project (project to which the repository is assigned), branches (list of branches in which the commit appears). Enriched items are not normalized due to limitations of Elasticsearch, which does not support table (index) join. This has some impact on the size of the indexes (some fields are repeated once and again, when they could be in a separate table, with cross-references). However, the impact is not large, since those fields tend to be relatively small compared with the whole size of the item. The main impact of this lack of normalization is observed when one of those fields changes, and all items with the old value have to be modified. For example, if the name of an author was wrong, and is fixed, all the items authored for that person need to be fixed. For each of the **data** sources supported, one or more enriched indexes are produced, aimed to have useful **data** to produce the metrics that are finally visualized, or used to produce reports. Therefore, aggregated metrics are not a part of the indexes stored in Elasticsearch: they are computed either by the visualizations, or by the tools producing the reports, by aggregating and filtering **data** present as fields in each of the items. A list of all the fields of all the indexes is also available 3 .",maybe
"Training details In order to report certified radii in the original coordinates, we first added Gaussian noise and/or do adversarial attacks, and then standardized the **data** (in contrast to importing a standardized dataset). Specifically, in our PyTorch implementation, the first layer of the base classifier is a normalization layer that performed a channel-wise standardization of its input.",maybe
"The first improvement we made is the addition of the ASAP [19] dataset to enlarge the number of considered statistics. Second, we used the EITA method to select matching notes against which we compute statistics as well. Third, instead of modeling the misalignment of onsets and offsets, we have now recorded statistics about the onsets and the duration ratio between score and performance. Fourth, statistics are computed with models trained on the ""stretched"" scores, so that the training **data** consists of scores at the same average BPM as the performance; as such, the misaligned **data** consists of times at that average BPM.",maybe
"Provenance **data** describing by whom, where, when and how an interlink was created is automatically generated by NAISC-L. With regard to 'why' an interlink was created, this justification datum is manually supplied by the user after selecting a link-type. This justification can include, but is not limited to, a description of the relationship between the entities, the purpose of the interlink, the interlink context and the rationale behind the chosen link-type. The **data** are structured as per the NAISC-L Provenance Data Model, described below in Sect. 4.4.2.",maybe
Data distribution: We limit the amount of fraud cases contained in our **data** to create an unbalanced label distribution.,maybe
"This realisation must not be seen as an excuse not to produce the best possible metadata and **data** (re)presentation. Nor will this realisation change the fact that each specific archaeological project may allow for more information being recorded or the same information being recorded in a more useful way. Most significantly, if the archaeological survey map is the end product of a project, it would be fair to expect that it is being prepared in a best possible way to enable flexible future potential use. With the wealth of mapping conventions and symbologies available, especially in this digital age, we have far from exhausted the possibilities to improve on how physical information is conveyed on our maps. 3",maybe
"We used four different word embedding methods for evaluation: Skip-gram vectors (word2vec) (Mikolov et al., 2013), Global vectors (GloVe) (Pennington et al., 2014), Eigenwords (Dhillon et al., 2015), and Global Context (GloCon) (Huang et al., 2012); however, we only report the results for word2vec, which is the most popular word embedding (see the supplemental material for other embeddings). We used word2vec 300 dimensional embeddings which were trained on several billion words of English: the Gigaword and the English discussion forum **data** gathered as part of BOLT. Tokenization was performed using CMU's Twokenize. 4",maybe
"However, learning long-term treatment effects is very challenging in practice, since long-term outcomes are often observed only after a long delay. This is especially a problem for randomized experiments, because experiments usually have relatively short durations due to cost considerations. For example, industry online controlled experiments (i.e., A/B testing) usually last for only a few weeks, so practitioners commonly recognize the inference of long-term effects as a top challenge [Gupta et al., 2019]. In contrast, observational **data** are often easier and cheaper to acquire, so they are more likely to include long-term outcome observations. Nevertheless, observational **data** are very susceptible to unmeasured confounding, which can lead to severely biased treatment effect estimates. Therefore, long-term causal inference is very challenging with only a single type of data, either due to missing long-term outcome (in experimental data) or unmeasured confounding (in observational data).",maybe
"Real-world encounters **data** was collected in the Copenhagen Networks Study (CNS) 9,29 . It contains the proximity information of over 700 students for 28 days. We model the CNS social network of interactions Ŵ as a sequence of T consecutive undirected weighted temporal graphs {G τ ∈ Ŵ, τ ∈ T} where each temporal snapshot graph G τ = (V τ , E τ ) denotes the subset of interacting nodes V τ during the τ temporal window and the weighted edges E τ the interactions during this time. Further, we use the network with half-density, i.e., each real day is split into two days. This is done since the original proximity network is very dense 8,33 .",maybe
"Figure 3 :
3Targets and collected **data** before pre-processing
",maybe
"We analyzed separately both earthquake and shots data. For the shot database we started with the Cube stations. These stations save the **data** in binary daily files that should be then converted to an appropriate format. The GFZ Potsdam institute provides useful algorithms to convert Cube format to MiniSeed format. During the recorded period, many of the 80 stations deployed lost the GPS signal sometimes, leading to more than one daily file. We found out that the registered **data** had some gaps, meaning that for certain periods of time the station did not register. The most probable cause of this is the loss of GPS signal. Fortunately, MiniSeed files are written with an absolute scale of time, thus, allowing us to identified and exclude these gaps. Another step we performed was to convert MiniSeed into SAC in order to choose the more suitable type file to work with. On the other hand SAC files have the time information not in absolute values but in a single time vector from 1 to the end of samples. Therefore, gaps could not be well identified using this type of files. For this reason we decided to work directly with the MiniSeed data. To reduce computation time we transformed the **data** into .mat format taking only the pieces of signal we needed. Indeed, we cut the signal 30 s before that **data** and 60 s after each shot. When we find a gap in the registration, the shots occurred in that period were not taken into account for that station.",maybe
"DynaTrack is connected to the treatment planning software (TPS) DynaPlan 22 through a TCP/IP network interface. DynaPlan receives actual target positions and MLC apertures independently at 25 Hz, and is responsible for dose accumulation. To calculate the dose for a given MLC aperture, DynaPlan utilizes the real-time µKonRad 23 dose calculation module, which exploits precalculated dose-influence data. These **data** were generated in φMC, a fast central processing unit (CPU)-based Monte Carlo dose calculation engine. 24 ",maybe
"Table 1
1Run sheet generated by the software and the fed response **data** (E.A.-IU/ml) after experimentation of the runs.Std. 
Run 
Factor 1 
A:CS ",maybe
Source : Processed primary **data** (2016) ,maybe
"The **data** presented in this study are available on request from the corresponding authors.
",yes
"Generating the sequence using a preferential attachment based model . We apply a preferential attachment based model to generated topic tuple sequences with power - law distributed usage of each topic tuple [ 32,37,38 ] . In the model , an individual 's activity is randomly chosen from the two actions . One is to explore a new subject and publish a paper with a new topic tuple . The other is to return to a previously studied subject and publish a paper with a topic tuple already used . The probability to explore is defined as ρn −γ in which the term n −γ captures the decreasing trend to explore a new subject as the number of papers increases . Consequently the probability of return , i.e. to reuse an old topic tuple , is 1 − ρn −γ . If one returns , the choice of existing topic tuples is governed by preferential attachment : the probability p i to use a specific topic tuple i is proportional to the tuple i 's current usage , so p i = n i / j n j where n i is the number of times that the tuple i is used . The parameters applied are ρ = 0.4 and γ = 0.1 . Each individual 's time step is controlled by the number of papers published , following distribution P ( n ) ∼ n −1.5 with a cutoff n max = 150 . These variables make the sequence generated similar to those in real data . We generate totally 20,000 independent sequences , a comparable number to the size of real data . See Supplementary Discussion 4 for more about the preferential attachment based model . Data availability . The Physical Review dataset is available upon requested from the APS at http://journals.aps.org/datasets . The name disambiguation procedure and the associated data are described in Ref . [ 6,43 ] .",yes
"The lagged solar wind conditions governing the cases under study are given in the last three columns of Table 1 , which have been calculated using the omnidirectional ( OMNI ) data ( available fromomniweb.gsfc.nasa.gov ) , for a location just downstream the bow shock ( case ( a ) ) , for turbulence inside the magnetosheath ( case ( b ) ) , and finally just outside the magnetopause ( case ( c ) ) .",yes
"Secondly , given the genetic overlap between traits , we observed that some signals were shared between sex hormone traits but appeared to have much stronger effects in one versus others . To help derive additional genetic risk scores that reflected this , we took all genome - wide significant signals within each sex but across traits , and performed ward - based hierarchical clustering 35 on individual variant Z scores . We used the observed clusters from these analyses to produce additional genetic instruments ( Supplementary Table 16 ): 8 . A ' male SHBG cluster ' ( N = 362 ) formed from SNPs with dominant effects on SHBG in men . Each SNP in this genetic instrument is weighted by its effect from the BMI - unadjusted SHBG analysis . 9 . A ' male testosterone cluster ' ( N = 122 ) formed from SNPs with dominant effects on both total and bioavailable testosterone in men . Each SNP in this genetic instrument is weighted by its effect on total testosterone . 10 . A ' male estradiol cluster ' ( N = 14 ) formed from SNPs with dominant effects on estradiol in men . 11 . A ' female SHBG cluster ' ( N = 373 ) formed from SNPs with dominant effects on SHBG in women . Each SNP in this genetic instrument is weighted by its effect from the BMI - unadjusted SHBG analysis . 12 . A ' female testosterone cluster ' ( N = 241 ) formed from SNPs with dominant effects on both total and bioavailable testosterone in women . Each SNP in this genetic instrument is weighted by its effect on total testosterone . Gene prioritization . We used the SMR software package 36 to systematically map associated genetic variants to genes via expression effects ( eQTLs ) . For all analyses we included expression data from liver , in addition to skeletal muscle in men and adrenal gland in women . All expression data were generated by the GTEx consortium ( v7 ) , made available from the SMR website resource section ( https:// cnsgenomics.com/software/smr/#DataResource ) . Only genes passing multiple test correction and exhibiting no statistically significant evidence of coincidental eQTL overlap ( assessed by the SMR HEIDI metric ) were considered . The same data were additionally used to perform global tissue enrichment using linkage disequilibrium score regression applied to specifically expressed genes ( LDSC - SEG ) 37 .",yes
Code availability - The code to analyze data are available from the corresponding author upon request .,yes
[ CCDC 2051611 contains the supplementary crystallographic data for this work . These data can be obtained free of charge from The Cambridge Crystallographic Data Centre via www.ccdc.cam.ac.uk/data_request/cif . ],yes
"The data that support the findings of this study are available from the corresponding author , [ author initials ] , upon reasonable request .",yes
"Chromatin material for ChIP - seq was prepared using the ChIP - IT High Sensitivity Kit from Active Motif , following the manufacturer 's instruction . ChIP - seq libraries were prepared with 2 to 10 ng of ChIP DNA material using the NEBNext Ultra DNA library Prep Kit for Illumina ( New England Biolabs ) following the manufacturer 's instruction . ChIP - seq libraries were amplified for 10 to 15 PCR cycles . Libraries were sequenced using a HiSeq 2500 sequencer ( Illumina ) . Table 4 provides sequencing depth data .",yes
"Dataset We train and evaluate our model using the publicly available SAIL route instruction data collected by MacMahon et al . [ 20 ] . The dataset contains 706 non - trivial navigational instruction paragraphs , produced by six instructors for 126 unique start and end position pairs spread evenly across three virtual worlds . These instructions are segmented into individual sentences and paired with an action sequence [ 6 ] . Table 1 presents the corpus statistics with standard deviation in parentheses . Training Details We follow the same procedure as Chen and Mooney [ 6 ] , training with the segmented data and testing on both single - and multi - sentence versions . We train our models using three - fold cross - validation based on the three maps . In each fold , we retain one map as test and partition the two - map training data into training ( 90 % ) and validation ( 10 % ) sets , the latter of which is used to tune hyperparameters . We retain the data for the third map as the test set . We repeat this process for each of the three folds and report ( size - weighted ) average test results over these folds . We later refer to this training procedure as "" vDev . "" Additionally , some previous methods ( p.c . ) adopted a slightly different training strategy whereby each fold trains on two maps and uses the test map to decide on the stopping iteration . In order to compare against these methods , we also train a separate version of our model in this way , which we refer to as "" vTest . """,yes
ChIP sequencing data are available at GEO under accession number GSE23716 . Primers used in this study are in Table S1 .,yes
"Detailed methods are provided in the online version of this paper and include the following :     Funding for the collection and processing of the Tara Oceans data set was provided by NASA Ocean Biology and Biogeochemistry Program under grants NNX11AQ14 G , NNX09AU43 G , NNX13AE58 G , and NNX15AC08 G ( to the University of Maine ) ; the Canada Excellence research chair on remote sensing of Canada 's new Arctic frontier ; and the Canada Foundation for Innovation . We also thank agnè s b. and Etienne Bourgois , the Prince Albert II de Monaco Foundation , the Veolia Foundation , Region Bretagne , Lorient Agglomeration , Serge Ferrari , Worldcourier , and KAUST for support and commitment . The global sampling effort was enabled by countless scientists and crew who sampled aboard the Tara from 2009 - 2013 , and we thank MERCATOR - CORIOLIS and ACRI - ST for providing daily satellite data during the expeditions . We are also grateful to the countries who graciously granted sampling permission . We thank Stephanie Henson for providing ocean carbon export data and are also grateful to the other researchers who kindly made their data available . We thank Juan J. Pierella - Karlusich for advice regarding single - copy genes . C.",yes
CCDC 2144211 contains the supplementary crystallographic data for this paper . These data are provided free of charge by The Cambridge Crystallographic Data Centre .,yes
"For small RNA - Seq sequencing , in total , approximately 1 µg total RNA was initially used for BGISEQ-500 library construction . Eighteen libraries ( 2 cucumber accessions , ( i.e. , WL - T DH2 and WL - S DH4 ) × 3 treatments ( Ctrl , 1xH , 2xH ) × 3 experimental replicates ) retaining information about the transcript direction ( strand specific ) were prepared . Then , these libraries were subjected to next - generation SE50 ( single - end 50 bp ) NGS sequencing for small RNAs using the BGISEQ-500 platform ( BGI , Shenzen , China ) . The sequencing data for WL - T DH2 ( Ctrl , 1xH , 2xH ) and WL - S DH4 ( Ctrl , 1xH , 2xH ) were deposited in the NCBI Sequence Read Archive ( SRA , http://www.ncbi.nlm.nih.gov/ Traces / sra/ ) under BioProject No . PRJNA721283 .",yes
"Databases providing emission data for different materials , products , and surfaces are an essential element needed toward operationalization of indoor exposure assessment within LCA . Currently , indoor emission data are not widely available or not in a suitable format for LCA ( e.g. , given as concentrations whereas emitted mass or emission rates would be required to link with our model results ) .",yes
"Competing interests : All authors have completed the Unified Competing Interest form at www.icmje.org/coi_disclosure.pdf ( available on request from the corresponding author ) and declare : support from the National Heart , Lung , and Blood Institute for the submitted work as described above ; no financial relationships with any organisations that might have an interest in the submitted work in the previous three years ; no other relationships or activities that could appear to have influenced the submitted work . Ethical approval : This study was approved by the ethics committees at the Women 's Health Initiative Coordinating Center , Fred Hutchinson Cancer Research Center , and at all 40 clinical centres . Data sharing : No additional data available .",yes
Test set . The smoking methylation data was originally published by Liu et al . ( 6 ) ( GSE42861 ) as part of their study examining the association between methylation and rheumatoid arthritis . We used the 200 current smoker and 193 never smoker samples in our analysis ( Supplementary   Table S2 ) . These included a mix of rheumatoid arthritis patients and controls of both sexes and a range of ages . The DNA was extracted from EDTA - treated blood .,yes
"The figures in the body of the paper describe the results obtained in one of the nanowires ( a typical specimen ) , where it was possible to perform the complete characterization as a photodetector as well as HAADF - STEM and EBIC . However , the study was validated by the observation of similar results in various nanowires with the same structure . We summarize in this section the results obtained in the various samples , including dark current characteristics ( figure S1 ) , photocurrent at zero - bias and 1 V bias ( table SI ) Table S1 . Experimental measurements in the various nanowires under study : dark current ( Idark ) at 1 V bias , and photocurrent ( Iph ) at 1 V bias and at zero bias . Photocurrent measurements were performed under continuous - wave illumination with a HeCd laser ( 325 nm , power = 1 mW , spot diameter 2 mm ) . The nanowire whose data is presented in the figures in the body of the paper is NW4 ( data in bold ) .   Figure S2 . Normalized spectral response of various nanowires measured at ±1 V bias . Figure S3 . HAADF - STEM Images of NW3 . The nanowire displays similar features as the nanowire described in Figure 1 ( NW4 ) . It results from the coalescence of a bundle of nanowires in the early stages of the growth , well before the deposition of the superlattice . The active region has a diameter of ≈ 130 nm .",maybe
The resolution of the CpA data set ( Figure S21 ) is 0.167 ° x0.167 ° since this was the resolution of the 195 precipitation dataset ( coarsest dataset ) .,maybe
"( 72 mg , 22 % ) as a colorless crystalline solid ; Raman ( neat ) / cm − suitable for single - crystal X - ray diffraction were obtained by layering a dichloromethane solution of 2c•NTf2 with diethyl ether followed by storage at -18 C ( X - ray data are given in Section 3 ) . a With carbon NMR spectra aquired on lower field instruments ( 101 MHz ) , the carbon signal corresponding to the NTf2 − anion was not observed . S10",yes
"DNA sequence analysis . Genomic DNA was isolated from lymphoblastoid cell lines of the patient , the healthy sibling and the parents . WGS was performed at Complete Genomics Inc. 6 ( CG ) using their standard sequencing pipeline , version 2.0.2.26 . For further analysis only small variants ( single - nucleotide polymorphisms and small insertions , deletions and block substitutions ) from the CG ' var ' file were considered , which reports variants compared with the reference genome ( NCBI build 37.2 ) up to a length of about 50 nucleotides . CGAtools ( CG Analysis Tools ) version 1.5 was used as provided by CG ( http://cgatools.sourceforge.net ) for subsequent analysis . With an in - house WGS analysis pipeline , we searched for recessive , compound heterozygous and de novo variants ( Fig . 2 ) . First , we combined all variants from all genomes of every family member into the union of variants using the CGAtools listvariant command and CG ' var ' files as input . Then , we used the CGAtools testvariant command to test each genome for the presence of each allele at every variant position . We next applied the following filtering steps : ( 1 ) we removed variants that were not called in at least one genome as high - quality calls ( VQHIGH ) by CG . ( 2 ) Next , we filtered for rare variants having a minor allele frequency equal or smaller than 1 % in the European American population of the 1000genomes project 36 and the NHLBI ESP exomes ( https://esp.gs.washington.edu ) , as well as in the control data set CG69 provided by CG . ( 3 ) Variants were filtered out , for which in the index patient both alleles were called reference . If one or both alleles of the index patient were not called , the variant was not filtered out at this stage . ( 4 ) When applying a recessive inheritance model , we filtered for variants that were either called homozygous in the index patient and not in the unaffected sibling and heterozygous in the parents or compound heterozygous allowing for no call alleles . Here we filtered for two different heterozygous variants within the same gene coming from different parental genomes and both not present in the unaffected sibling . ( 5 ) Variants were annotated using ANNOVAR 37 using the NCBI RefSeq Release 60 and Ensembl Release 74 genome annotations . Only exonic variants were kept that were annotated as non - synonymous , frameshift insertion / deletion , nonframeshift insertion / deletion / substitution , stop gain , stop loss and variants disrupting splice sites up to two bases into intron or exon . The remaining variants were then assessed using SIFT 38 , Polyphen 39 , MutationTaster 40 and CADD 41 for pathogenicity . Ingenuity Variant Analysis ( Qiagen ) and the Family Genomics Workflow ( familygenomics.systemsbiology.net/software ) provided independent candidate lists , and were used for confirmation of the primary analysis . Wholeexome sequencing was performed after enrichment with SureSelect Human All Exon Kit ( Agilent ) targeting B38 Mb , and sequenced on one lane of an Illumina GAIIx instrument using a paired - end sequencing protocol . To detect and evaluate SNVs and small indels , reads were mapped to the GRCh37 reference genome ( hg19 ) by the Burrows - Wheeler Aligner 42 . Subsequently , SNVs and small indels were called using SAMtools 43 and VarScan 44 . The resulting list of variants was annotated with ANNOVAR . Finally , manual inspection of relevant variants was carried out by visualizing the mapped reads in the Integrative Genome Browser ( IGV ) 45 .",yes
Supplementary data to this article can be found online at https://doi . org/10.1016 / j.scitotenv.2021.152345 .,yes
( 2 ) An arbitrary λ value was provided to Elastic net to select genes using the data of ( 1 ) .,yes
"Validation of the classifications was performed on the dataset for the test. For this, statistical metrics were used to evaluate and test the performance of the adjusted CNN. The metrics are specified in Table 3, of which are calculated according to the results of the classifications. The Kappa index is a measure of agreement used in nominal scales that gives us an idea of how far the observations deviate from those expected, at random, thus indicating to us how legitimate the interpretations are. It measures the percentage of the **data** values on the main diagonal of the table and then adjusts these values for the amount of agreement that might be expected [50]. Accuracy is an index that reflects the rate at which individuals are correctly classified into the category containing their true score. Ranking accuracy is usually attributed to the appropriateness and validity of your decisions based on the obtained score. A large value for the index indicates a high hit rate of individuals in the correct categories, and a low value indicates a lower rate of correct classification of individuals [51]. Adjusted F-score AGF =
5 × PPV × TPR (4 × PPV)+ TPR × (1 + 0.5 2 ) × NPV × TNR (0.5 2 × NPV)+ TNR
Use all confusion matrix elements and provide more weights to samples that are correctly classified in the lowest class.",no
"In this regard, the independent variable is a dummy variable, coded as 0 for the pre-interruption period, and 1 for the post-interruption period. As a result, there are 114 weeks of pre-COVID-19 (i.e., preinterruption) **data** and 42 weeks of post-COVID-19 (i.e., post-2 Examples include addressing code and ordinance violations, environmental and business regulations, as well as working with the department's crime analysis unit and local businesses to reduce crime. interruption) data. A visual examination of the trend line **data** (see Fig. 1) also indicated the presence of a step change-an abrupt effect-between the emergence of COVID-19 and the death of George Floyd for two of the ten categories: the patrol and DRT self-initiated activities. For both categories an increase in activity was observed after the COVID-19 starting point, followed by an abrupt decline following the date of George Floyd's death. To control for these, two indicators were created to indicate the period from COVID-19 to the incident (March 12, 2020 to May 24, 2020, covering 11 weeks), and the period from the death of George Floyd (May 25, 2020) to the end of 2020 (covering 13 weeks) for these two types of self-initiated activities.",no
"Removing all but the high quality G:C to A:T SNPs removed 51% of the remaining SNPs. The count of likely EMS-induced changes (high quality G:C to A:T) ranged from 9,668 changes in 10-2 to only 2,635 in the low coverage sequence **data** from 12-2 (Table  2). An average of 6,914 high-quality G:C to A:T SNPs were identified per sample.",no
"In the case of the signal process , top quarks are produced more abundantly relative to their antiquark partners due to the charge asymmetry of the W boson radiated from the initial - state quark in pp collisions at the LHC . This leads to a higher relative background contamination in the l − final state arising from top antiquark decay compared to the l + final state from top quark decay , as shown in Fig . 7 . As a result , the measurement in the l − final state is more sensitive to the sources that significantly alter the background contributions along with the signal , compared to the ones that impact the signal contribution only . This is reflected in Table 3 where the uncertainties from the signal modeling are lower for the l − case ; whereas other sources , except for the ones listed under flavor - dependent JES , that alter the background contributions along with the signal have a larger impact on the total uncertainty . In the case of the flavor - dependent Table 3 : Summary of the m t uncertainties in GeV for each final - state lepton charge configuration . The statistical uncertainties are obtained by performing the fits again in each case while fixing the nuisance parameters to their estimated values from data . With the exception of the flavor - dependent JES sources , the total systematic uncertainty is obtained from the quadrature sum of the individual systematic sources . The amount of statistical fluctuations in the systematic shifts are quoted within parentheses whenever alternative simulated samples with systematic variations have been used . These are determined from 1000 pseudo - experiments in each case . Entries with < 0.01 denote that the magnitude of the systematic bias is less than 0.01 .",no
"Interesting trends were observed by investigating the distribution of intra-and intermolecular DBs in the seven types of enzymes (Table 3; disaggregated **data** for each of the 14 subsets of protein structures examined in the present paper are given in the Supplementary Materials, Table S6). Table 3. Average percentages (estimated standard deviations in parentheses) of various types of proteins (non-enzyme and the seven types of enzymes) that contain both intra-and intermolecular disulfide bonds (Both), only intramolecular disulfide bonds (Intra-only) or only intermolecular disulfide bonds (Inter-only). Disulfide bonds are identified with the FIND or with the GREP method. About 40-50% of the proteins that contain DBs-only intramolecular, only intermolecular or both-are enzymes, and nearly all of them are hydrolases when intramolecular DBs are present; when there are only intermolecular-and no intramolecular-DBs, different types of enzymes can be observed-mainly oxidoreductases, transferases and hydrolases but also, with lower frequency, lyases, isomerases and ligases.",no
"We created several graph representations by varying the input parameter . In total, we obtained 5 graph representations of the same **data** set by creating a corresponding graph for = {0.70, 0.75, . . . , 0.95}. We summarized the properties of the graphs in Table 1 Table 1: Summary of network properties for graphs obtained using value-based constrution",no
"Table 1 :
 1Health expenditure **data** for 2003*Country 
 Health expenditure as 
 percent of gross domestic 
 product",no
"To test whether detected associations may be explained by the selfselection of families into greener neighborhoods , a series of adjusted models were fit to the data . First , controls for children 's genetics were entered using the educational - attainment polygenic score . We have previously shown that , in the full E - Risk sample , children with higher educational - attainment polygenic scores exhibit greater overall IQ at age 5 ( r = 0.14 , 95%CI : 0.09 , 0.19 , p < .001 ) ( Wertz et al . , 2018 ) . Here we found that , in the analysis sample , children with higher educational - attainment polygenic scores also tended to have higher overall IQs at age 12 ( r = 0.24 , 95%CI : 0.18 , 0.30 , p < .001 ) and at age 18 ( r = 0.23 , 95%CI : 0.17 , 0.29 , p < .001 ) . However , children 's educational - attainment polygenic scores were not associated with their greenery exposures across childhood ( r = 0.03 , 95%CI : −0.04 , 0.10 , p = .463 by age 18 ) . Consequently , adding the educational - attainment polygenic score to the models testing the associations between cumulative greenery exposure and the cognitive outcomes did not alter the results ( Table 1 , second column ) .",no
"Abundance scores correlated modestly well between replicates ( mean Pearson 's r = 0.63 , mean Spearman 's ρ = 0.62 for PTEN ; and mean r = 0.73 , mean ρ = 0.67 for TPMT ; Supplementary Fig . 2 ) . To improve accuracy , final abundance scores and confidence intervals were computed from eight replicate experiments . The resulting data set describes the effects of 4,112 of the 7,638 possible single amino acid PTEN variants and 3,689 of the 4,655 possible TPMT variants ( Fig . 2c , Table   2 ) . VAMP - seq - derived abundance scores were highly correlated with the abundances of protein variants assessed in individual experiments ( n = 25 , r = 0.96 , ρ = 0.96 for PTEN ; n = 19 , r = 0.75 , ρ = 0.61 for TPMT ; Supplementary Fig . 3a , b ) . Furthermore , PTEN variant abundance measured using full - length EGFP or a fifteen amino acid split - GFP tag 19 were in agreement ( n = 6 , r = 0.98 , ρ = 0.94 ; Supplementary Fig . 1d ) . Finally , our abundance scores were consistent with 41 PTEN and 20 TPMT variant abundance effects assessed by western blotting ( Supplementary Fig . 3c , d ) . Thus , VAMP - seq accurately quantifies steady - state protein variant abundance .",no
"Indeed, we were able to ascertain the year of birth of three dead babies found in a deep-freezer to within 1-2 years (1986, 1988 and 2004, respectively), using the method. In spite of this evident success of the method there was one aspect of the **data** that represents a puzzle. The 14 C levels of the lenses were consistently smaller than those of the nails, corresponding to apparent later formation of the lenses (Figure 15). In fact the idea of combining (averaging) the 14 C **data** of nails and lenses is not supported by the data, i.e. the hypotheses that the nails and lenses are formed at the same time is less than 5% probable. Evidently, for a newborn baby the physical formation times cannot possibly differ by more than 9 months, during which the mother could however have changed her dietary preferences in terms of terrestrial/marine/petrochemical proportions leading to 14  content. See also [90].",no
"After the phase of installation of the seismic stations, each group developed activities of maintenance and control. These activities were focused mainly in controlling the proper operation of the seismic stations and in changing the batteries every 7 days to ensure **data** acquisition. To avoid potential vandalism on the seismic stations, every site was visited at least once every 2 or 3 days.",no
